
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max   	min    	nevals	std    	time   	avg    	gen	max    	min    	nevals	std    	time   
0  	1024  	91.4568	0  	92.751	81.7921	1024  	1.03336	1.15847	226.457	0  	272.333	206.586	1024  	13.7212	1.15847
1  	1024  	36.4544	1  	38.2065	29.0454	1024  	1.28995	2.42682	191.804	1  	221.06 	183.744	1024  	6.28962	2.42682
2  	1024  	102.917	2  	109.337	84.6614	1024  	6.07047	2.86708	214.611	2  	245.816	208.915	1024  	6.59237	2.86708
3  	1024  	51.4874	3  	53.7731	42.4169	1024  	1.85519	2.69219	198.353	3  	232.885	192.774	1024  	7.54551	2.69219
4  	1024  	62.4779	4  	65.8644	53.5706	1024  	1.97612	2.53064	213.123	4  	246.27 	210.149	1024  	4.46008	2.53064
5  	1024  	44.2283	5  	47.2956	36.5335	1024  	2.57677	2.15284	192.056	5  	209.186	189.426	1024  	3.46105	2.15284
6  	1024  	5.92858	6  	6.55196	4.7749 	1024  	0.570675	1.53384	180.772	6  	193.189	177.727	1024  	3.85366	1.53384
7  	1024  	11.5961	7  	14.4021	8.68779	1024  	1.96544 	1.4866 	183.578	7  	196.677	179.839	1024  	4.4724 	1.4866 
8  	1024  	11.509 	8  	13.2849	9.57368	1024  	0.91356 	1.61905	186.25 	8  	199.275	182.811	1024  	3.79083	1.61905
9  	1024  	35.4175	9  	40.9584	31.1981	1024  	2.71508 	1.9315 	191.374	9  	210.933	187.471	1024  	3.74795	1.9315 
10 	1024  	54.7395	10 	64.6471	48.5478	1024  	3.56209 	2.26954	194.116	10 	207.032	191.542	1024  	2.65277	2.26954
11 	1024  	43.4793	11 	46.7956	38.0575	1024  	2.37905 	2.23759	198.211	11 	204.97 	195.53 	1024  	2.5887 	2.23759
12 	1024  	21.5093	12 	24.596 	18.0867	1024  	2.00552 	2.04233	184.256	12 	197.705	181.325	1024  	3.33644	2.04233
13 	1024  	34.3661	13 	38.2026	28.2404	1024  	2.7287  	2.10854	189.476	13 	205.205	187.072	1024  	3.32998	2.10854
14 	1024  	27.6476	14 	32.3979	22.9907	1024  	2.93136 	2.01993	192.631	14 	209.561	189.748	1024  	3.85705	2.01993
15 	1024  	40.577 	15 	46.1326	34.5127	1024  	3.68822 	2.05194	193.266	15 	206.395	190.46 	1024  	3.23377	2.05194
16 	1024  	68.221 	16 	73.6386	57.1463	1024  	3.8403  	2.00679	184.109	16 	198.682	181.395	1024  	3.78654	2.00679
17 	1024  	22.202 	17 	24.966 	18.8743	1024  	1.93334 	1.77031	193.841	17 	207.62 	191.004	1024  	3.34268	1.77031
18 	1024  	13.7155	18 	16.7511	8.85147	1024  	3.03209 	1.75651	175.768	18 	189.65 	172.815	1024  	3.82238	1.75651
19 	1024  	13.8315	19 	15.3432	11.6919	1024  	1.02294 	1.51289	178.884	19 	190.191	174.164	1024  	4.04335	1.51289
20 	1024  	8.5634 	20 	11.8897	6.00457	1024  	1.61919 	1.52988	180.048	20 	191.114	176.609	1024  	3.51797	1.52988
21 	1024  	10.725 	21 	12.5671	8.69956	1024  	1.21794 	1.58309	165.502	21 	177.973	162.06 	1024  	4.07204	1.58309
22 	1024  	39.8842	22 	47.1429	32.0124	1024  	4.57245 	2.28856	197.273	22 	211.94 	195.126	1024  	2.59157	2.28856
23 	1024  	36.6884	23 	41.9262	28.0879	1024  	3.85462 	2.03139	191.035	23 	206.343	188.915	1024  	2.96417	2.03139
24 	1024  	31.6856	24 	34.2557	27.6783	1024  	1.83817 	1.46253	176.037	24 	189.995	172.946	1024  	3.46528	1.46253
25 	1024  	0.890913	25 	1.11741	0.558841	1024  	0.141908	1.44335	165.671	25 	179.626	162.777	1024  	4.4098 	1.44335
26 	1024  	5.0006  	26 	5.73745	3.70299 	1024  	0.628858	1.56564	180.635	26 	187.399	178.541	1024  	3.19802	1.56564
27 	1024  	6.29397 	27 	7.228  	4.39071 	1024  	0.756773	1.58174	174.535	27 	187.638	172.096	1024  	3.49081	1.58174
28 	1024  	31.3714 	28 	36.9573	24.7651 	1024  	4.11358 	2.09251	181.05 	28 	195.434	178.861	1024  	3.10228	2.09251
29 	1024  	53.368  	29 	59.6091	48.8199 	1024  	3.45544 	1.89718	196.814	29 	201.932	194.593	1024  	2.8913 	1.89718
30 	1024  	34.2618 	30 	39.2732	27.0845 	1024  	3.54565 	1.81246	187.607	30 	193.155	185.458	1024  	2.7981 	1.81246
31 	1024  	14.2008 	31 	16.5303	10.1661 	1024  	2.12148 	1.71641	171.683	31 	179.131	169.321	1024  	3.44091	1.71641
32 	1024  	29.0982 	32 	30.4548	27.0642 	1024  	0.754181	1.62936	172.724	32 	179.88 	169.581	1024  	3.8368 	1.62936
33 	1024  	6.44337 	33 	8.02564	4.75568 	1024  	0.802211	1.56768	166.349	33 	179.078	162.859	1024  	3.79207	1.56768
34 	1024  	1.72059 	34 	1.96481	1.17812 	1024  	0.16433 	1.34667	177.052	34 	188.997	173.257	1024  	3.79836	1.34667
35 	1024  	25.0883 	35 	29.6825	21.4882 	1024  	2.1298  	2.29783	196.65 	35 	211.16 	193.295	1024  	3.51678	2.29783
36 	1024  	83.7392 	36 	109.14 	72.6967 	1024  	7.29098 	2.57246	208.074	36 	219.963	207.247	1024  	1.19208	2.57246
37 	1024  	127.482 	37 	149.383	110.979 	1024  	8.62805 	2.6824 	205.302	37 	224.19 	204.085	1024  	2.10675	2.6824 
38 	1024  	63.0109 	38 	70.5581	53.4758 	1024  	4.67346 	2.56096	199.122	38 	217.064	198.032	1024  	1.92209	2.56096
39 	1024  	43.1938 	39 	49.7229	35.2618 	1024  	4.94313 	2.2203 	190.433	39 	208.203	188.999	1024  	2.4777 	2.2203 
40 	1024  	83.1463 	40 	98.6644	61.3619 	1024  	12.6099 	2.15199	202.729	40 	220.423	201.581	1024  	2.1015 	2.15199
41 	1024  	22.2684 	41 	25.6527	18.9753 	1024  	1.48097 	1.52951	183.652	41 	197.131	181.742	1024  	2.37411	1.52951
42 	1024  	3.06078 	42 	3.98557	1.88113 	1024  	0.406511	1.51889	176.929	42 	189.079	173.514	1024  	3.33586	1.51889
43 	1024  	76.5806 	43 	84.7977	69.8463 	1024  	4.25809 	2.49756	203.398	43 	209.579	201.366	1024  	2.65928	2.49756
44 	1024  	49.6422 	44 	57.7179	42.1631 	1024  	4.39965 	2.44695	212.284	44 	228.325	209.925	1024  	2.91798	2.44695
45 	1024  	65.7779 	45 	75.7884	62.4773 	1024  	2.3639  	2.39882	202.908	45 	208.114	199.461	1024  	3.16716	2.39882
46 	1024  	56.3609 	46 	70.6414	48.7766 	1024  	4.46865 	2.37278	194.694	46 	212.309	192.23 	1024  	3.16232	2.37278
47 	1024  	50.19   	47 	58.9957	43.9634 	1024  	3.7417  	2.31673	195.91 	47 	211.955	192.763	1024  	3.26779	2.31673
48 	1024  	37.0685 	48 	46.1414	31.2742 	1024  	3.34017 	2.50892	202.158	48 	218.748	199.651	1024  	3.02256	2.50892
49 	1024  	44.9962 	49 	51.6139	37.2622 	1024  	3.79856 	2.2734 	194.016	49 	209.888	191.937	1024  	2.55514	2.2734 
50 	1024  	45.4722 	50 	50.0957	40.0581 	1024  	1.77697 	1.84959	178.086	50 	192.277	174.731	1024  	3.53687	1.84959
51 	1024  	9.83182 	51 	11.8916	7.88623 	1024  	1.11959 	1.53899	182.306	51 	197.451	179.564	1024  	3.91354	1.53899
52 	1024  	12.5023 	52 	16.4556	9.20829 	1024  	2.04766 	1.5798 	174.185	52 	188.646	170.611	1024  	4.50348	1.5798 
53 	1024  	5.53438 	53 	8.41425	3.76222 	1024  	1.40193 	1.42734	166.424	53 	173.747	163.088	1024  	4.61287	1.42734
54 	1024  	6.78983 	54 	9.00002	5.30624 	1024  	0.793519	1.59269	166.951	54 	174.821	164.735	1024  	3.77156	1.59269
55 	1024  	39.4019 	55 	50.0587	30.3688 	1024  	5.55065 	1.8625 	184.951	55 	195.855	180.765	1024  	3.97302	1.8625 
56 	1024  	7.34784 	56 	9.9146 	5.23182 	1024  	1.20787 	1.76477	169.465	56 	178.168	166.856	1024  	3.90992	1.76477
57 	1024  	30.2082 	57 	31.8564	28.5565 	1024  	0.93098 	1.51664	167.696	57 	179.94 	164.545	1024  	3.68524	1.51664
58 	1024  	187.35  	58 	196.894	169.563 	1024  	9.32862 	1.77144	182.243	58 	196.152	179.676	1024  	3.0439 	1.77144
