
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max   	min    	nevals	std    	time   	avg    	gen	max    	min    	nevals	std    	time   
0  	1024  	91.3715	0  	92.751	79.6639	1024  	1.25786	1.19917	226.637	0  	268.559	206.698	1024  	13.3107	1.19917
1  	1024  	36.2731	1  	38.1347	27.5092	1024  	1.58226	2.37284	191.501	1  	224.43 	183.658	1024  	6.02986	2.37284
2  	1024  	102.953	2  	109.447	85.6157	1024  	6.02091	2.60828	214.579	2  	254.963	208.923	1024  	6.37754	2.60828
3  	1024  	51.2279	3  	54.2142	43.2533	1024  	2.17053	2.52583	198.26 	3  	233.368	192.815	1024  	6.74081	2.52583
4  	1024  	62.3005	4  	66.255 	53.4661	1024  	2.24744	2.49031	213.695	4  	240.874	210.152	1024  	5.38622	2.49031
5  	1024  	43.6869	5  	47.3609	36.4223	1024  	3.08096	2.26267	193.046	5  	213.218	189.214	1024  	5.11616	2.26267
6  	1024  	5.81889	6  	6.51023	4.22075	1024  	0.584049	1.55012	181.397	6  	205.863	177.85 	1024  	4.09727	1.55012
7  	1024  	11.7118	7  	14.4016	8.55565	1024  	1.70546 	1.53345	183.396	7  	196.803	179.845	1024  	4.3963 	1.53345
8  	1024  	11.7197	8  	13.0707	8.49034	1024  	1.03441 	1.64712	185.83 	8  	199.068	182.697	1024  	3.74189	1.64712
9  	1024  	35.6656	9  	40.9584	29.5492	1024  	2.81838 	2.00848	190.964	9  	206.085	187.452	1024  	3.74035	2.00848
10 	1024  	55.8008	10 	64.7182	42.5194	1024  	4.6807  	2.14021	193.853	10 	218.597	191.541	1024  	2.82858	2.14021
11 	1024  	44.1257	11 	46.999 	38.4057	1024  	2.13589 	2.27297	197.816	11 	214.338	195.53 	1024  	2.67716	2.27297
12 	1024  	21.9626	12 	24.7416	18.2354	1024  	2.06469 	2.02961	183.988	12 	198.656	181.209	1024  	3.26512	2.02961
13 	1024  	34.9961	13 	39.2852	29.8475	1024  	2.65432 	2.0269 	189.54 	13 	204.49 	187.063	1024  	3.07901	2.0269 
14 	1024  	28.0047	14 	32.4135	23.1031	1024  	2.85811 	2.04784	192.61 	14 	207.291	189.748	1024  	3.56946	2.04784
15 	1024  	41.2199	15 	46.3086	35.2247	1024  	3.59745 	2.03874	193.11 	15 	206.347	190.069	1024  	3.26998	2.03874
16 	1024  	68.6766	16 	73.6335	58.5045	1024  	3.84653 	1.99973	184.312	16 	200.19 	181.395	1024  	3.40055	1.99973
