
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg   	gen	max   	min    	nevals	std    	time   	avg    	gen	max    	min    	nevals	std    	time   
0  	1024  	91.371	0  	92.751	81.9347	1024  	1.19613	1.10865	226.657	0  	268.559	206.586	1024  	13.9039	1.10865
1  	1024  	36.2275	1  	38.0612	27.2126	1024  	1.48697	2.44137	191.873	1  	219.468	183.583	1024  	6.60081	2.44137
2  	1024  	102.414	2  	109.449	83.4351	1024  	6.142  	2.75778	214.446	2  	245.079	208.826	1024  	6.0301 	2.75778
3  	1024  	51.1588	3  	53.9898	42.983 	1024  	2.25984	2.59379	197.576	3  	229.615	192.815	1024  	6.05623	2.59379
4  	1024  	62.185 	4  	66.1107	54.3464	1024  	2.46897	2.50725	212.758	4  	233.385	210.119	1024  	3.54042	2.50725
5  	1024  	43.6381	5  	47.5693	36.5335	1024  	3.20284	2.0675 	192.059	5  	210.432	189.426	1024  	3.176  	2.0675 
6  	1024  	5.8324 	6  	6.55196	4.76288	1024  	0.612956	1.45007	181.011	6  	193.011	177.821	1024  	3.75518	1.45007
7  	1024  	11.4142	7  	14.5742	8.7497 	1024  	1.77916 	1.44175	183.524	7  	196.429	179.828	1024  	4.08667	1.44175
8  	1024  	11.7143	8  	13.0375	9.51679	1024  	1.00532 	1.63915	185.858	8  	198.936	182.976	1024  	3.70984	1.63915
9  	1024  	35.7683	9  	41.1158	31.0908	1024  	2.83523 	1.9766 	191.123	9  	205.553	187.451	1024  	3.73824	1.9766 
10 	1024  	55.1933	10 	64.6672	43.3431	1024  	3.86184 	2.26339	193.981	10 	207.361	191.539	1024  	3.09296	2.26339
11 	1024  	44.091 	11 	46.7973	38.9635	1024  	2.48944 	2.31094	197.815	11 	213.323	195.53 	1024  	3.45227	2.31094
12 	1024  	21.9309	12 	24.7152	18.3223	1024  	1.96825 	2.0091 	183.946	12 	199.003	181.34 	1024  	3.59998	2.0091 
13 	1024  	34.8104	13 	38.5375	29.1108	1024  	2.65206 	1.99868	189.646	13 	204.13 	187.069	1024  	3.71574	1.99868
14 	1024  	28.0617	14 	32.2352	23.5111	1024  	2.68288 	2.04469	192.08 	14 	206.556	189.748	1024  	2.98847	2.04469
15 	1024  	41.5492	15 	46.2878	32.8688	1024  	3.56993 	1.92566	192.256	15 	207.696	190.46 	1024  	2.63389	1.92566
16 	1024  	68.8209	16 	73.5209	55.0359	1024  	4.35652 	1.86453	183.692	16 	199.428	181.395	1024  	3.3473 	1.86453
17 	1024  	22.2379	17 	24.6909	18.6851	1024  	1.95946 	1.76204	193.688	17 	209.372	191.005	1024  	3.53678	1.76204
18 	1024  	13.9693	18 	16.7511	8.75618	1024  	2.97959 	1.68827	175.625	18 	190.24 	172.814	1024  	3.9046 	1.68827
19 	1024  	14.4041	19 	15.3432	12.1948	1024  	0.957378	1.62035	177.034	19 	191.415	174.181	1024  	4.16654	1.62035
20 	1024  	10.4751	20 	11.9517	5.99325	1024  	1.81989 	1.55267	178.146	20 	189.93 	176.397	1024  	2.61291	1.55267
21 	1024  	11.1595	21 	12.5671	8.754  	1024  	1.1057  	1.50977	164.696	21 	178.332	161.925	1024  	3.81991	1.50977
22 	1024  	42.0961	22 	47.5593	33.1977	1024  	4.16603 	2.2227 	196.39 	22 	211.65 	195.124	1024  	2.03004	2.2227 
23 	1024  	36.1048	23 	41.8518	29.3977	1024  	4.10282 	1.98748	191.42 	23 	206.631	188.916	1024  	3.32258	1.98748
24 	1024  	31.5525	24 	34.4675	28.5266	1024  	1.78829 	1.58085	176.405	24 	190.574	172.955	1024  	4.012  	1.58085
25 	1024  	0.87423	25 	1.11741	0.558841	1024  	0.156394	1.23528	166.095	25 	186.024	162.796	1024  	4.91126	1.23528
26 	1024  	4.63886	26 	5.73745	3.73027 	1024  	0.572329	1.33464	182.503	26 	194.509	178.541	1024  	4.27521	1.33464
27 	1024  	5.70325	27 	7.228  	4.29599 	1024  	0.640398	1.47112	177.486	27 	189.108	172.101	1024  	4.91924	1.47112
28 	1024  	29.009 	28 	36.9567	24.7605 	1024  	3.55002 	1.98854	183.188	28 	195.286	178.842	1024  	3.50605	1.98854
29 	1024  	52.4335	29 	58.8409	47.6336 	1024  	3.00237 	1.89549	197.441	29 	211.001	194.594	1024  	3.17238	1.89549
30 	1024  	32.9404	30 	38.8653	26.6992 	1024  	2.94479 	1.88486	188.49 	30 	202.677	185.469	1024  	3.31618	1.88486
31 	1024  	12.7082	31 	16.5819	9.33964 	1024  	1.77422 	1.69834	172.747	31 	185.247	169.266	1024  	4.11154	1.69834
32 	1024  	29.0165	32 	30.4548	26.4924 	1024  	0.836812	1.60576	172.337	32 	187.549	169.441	1024  	3.96778	1.60576
33 	1024  	6.59815	33 	8.02564	5.10258 	1024  	0.818781	1.56854	166.64 	33 	179.304	162.884	1024  	4.14559	1.56854
34 	1024  	1.77989	34 	1.96481	1.35342 	1024  	0.0828417	1.37853	176.173	34 	190.221	173.257	1024  	3.40184	1.37853
35 	1024  	25.8719	35 	29.7188	21.6002 	1024  	1.93236  	2.17263	195.405	35 	213.019	193.295	1024  	3.5146 	2.17263
36 	1024  	83.7135	36 	108.997	71.4455 	1024  	8.15639  	2.37412	208.664	36 	226.413	207.169	1024  	2.67766	2.37412
37 	1024  	127.395	37 	149.352	111.319 	1024  	9.24911  	2.5866 	205.855	37 	225.681	204.006	1024  	3.38573	2.5866 
38 	1024  	61.6132	38 	69.9153	52.8266 	1024  	5.19223  	2.57647	199.892	38 	219.212	197.941	1024  	3.48909	2.57647
39 	1024  	42.7538	39 	49.6789	36.0641 	1024  	4.25331  	2.43175	191.87 	39 	209.064	188.543	1024  	4.06167	2.43175
